size,path,id,color,name,coordinates,description,type
5000,landslide,landslide,"rgb(255, 136, 0)",landslide,,,root
1000,landslide/landslide.0,landslide.0,"rgb(154, 255, 255)",landslide.landslide.0,"['101.3431', '24.4752']",10 km from the VII isobar of the Gengma,Spot
1000,landslide/landslide.0/MED,landslide.0.MED,"rgb(88, 227, 127)",landslide.landslide.0.MED,"['101.3431', '24.4752']",,MED
1000,landslide/landslide.0/FAC,landslide.0.FAC,"rgb(88, 227, 127)",landslide.landslide.0.FAC,"['101.3431', '24.4752']",,FAC
1000,landslide/landslide.0/LOC,landslide.0.LOC,"rgb(88, 227, 127)",landslide.landslide.0.LOC,"['101.3431', '24.4752']",,LOC
1000,landslide/landslide.1,landslide.1,"rgb(154, 255, 255)",landslide.landslide.1,"['50.5253', '25.2744']",41 - km rail that crosses the Serra do Mar mountain range,Spot
1000,landslide/landslide.1/MED,landslide.1.MED,"rgb(88, 227, 127)",landslide.landslide.1.MED,"['50.5253', '25.2744']",,MED
1000,landslide/landslide.1/FAC,landslide.1.FAC,"rgb(88, 227, 127)",landslide.landslide.1.FAC,"['50.5253', '25.2744']",,FAC
1000,landslide/landslide.1/LOC,landslide.1.LOC,"rgb(88, 227, 127)",landslide.landslide.1.LOC,"['50.5253', '25.2744']",,LOC
1000,landslide/landslide.2,landslide.2,"rgb(154, 255, 255)",landslide.landslide.2,"['3.0857', '36.7372']",70 km southeast of the Algerian capital,Spot
1000,landslide/landslide.2/MED,landslide.2.MED,"rgb(88, 227, 127)",landslide.landslide.2.MED,"['3.0857', '36.7372']",,MED
1000,landslide/landslide.2/FAC,landslide.2.FAC,"rgb(88, 227, 127)",landslide.landslide.2.FAC,"['3.0857', '36.7372']",,FAC
1000,landslide/landslide.2/LOC,landslide.2.LOC,"rgb(88, 227, 127)",landslide.landslide.2.LOC,"['3.0857', '36.7372']",,LOC
1000,landslide/landslide.3,landslide.3,"rgb(154, 255, 255)",landslide.landslide.3,"['78.4322', '30.3090']",a famous tourist destination in the Indian State of Uttarakhand,Spot
1000,landslide/landslide.3/MED,landslide.3.MED,"rgb(88, 227, 127)",landslide.landslide.3.MED,"['78.4322', '30.3090']",,MED
1000,landslide/landslide.3/FAC,landslide.3.FAC,"rgb(88, 227, 127)",landslide.landslide.3.FAC,"['78.4322', '30.3090']",,FAC
1000,landslide/landslide.3/LOC,landslide.3.LOC,"rgb(88, 227, 127)",landslide.landslide.3.LOC,"['78.4322', '30.3090']",,LOC
1000,landslide/landslide.4,landslide.4,"rgb(154, 255, 255)",landslide.landslide.4,"['6.8481', '49.3727']",A lagou,Spot
1000,landslide/landslide.4/MED,landslide.4.MED,"rgb(88, 227, 127)",landslide.landslide.4.MED,"['6.8481', '49.3727']",,MED
1000,landslide/landslide.4/FAC,landslide.4.FAC,"rgb(88, 227, 127)",landslide.landslide.4.FAC,"['6.8481', '49.3727']",,FAC
1000,landslide/landslide.4/LOC,landslide.4.LOC,"rgb(88, 227, 127)",landslide.landslide.4.LOC,"['6.8481', '49.3727']",,LOC
