size,path,id,color,name,coordinates,description,type,nodeVisibility
10000,landslide/LOC.47,LOC.47,#2579e8,landslide.LOC.47,"['128.1816', '3.6956']",Ambon,LOC,false
10000,landslide/LOC.48,LOC.48,#2579e8,landslide.LOC.48,"['113.5', '-0.5']",Ampel,LOC,false
10000,landslide/LOC.49,LOC.49,#2579e8,landslide.LOC.49,"['33.4597', '38.5414']",Anatolian Fault Zone of Turkey,LOC,false
10000,landslide/LOC.50,LOC.50,#2579e8,landslide.LOC.50,"['149.9003', '61.2181']",Anchorage,LOC,false
10000,landslide/LOC.51,LOC.51,#2579e8,landslide.LOC.51,"['13.5189', '43.6158']",Ancona,LOC,false
10000,landslide/LOC.52,LOC.52,#2579e8,landslide.LOC.52,"['13.5189', '43.6158']",Ancona municipality on the Adriatic coast of central Italy,LOC,false
10000,landslide/LOC.53,LOC.53,#2579e8,landslide.LOC.53,"['4.7130', '37.5443']",Andalusia,LOC,false
10000,landslide/LOC.54,LOC.54,#2579e8,landslide.LOC.54,"['-75.0', '-3.5']",Andean mountain range,LOC,false
10000,landslide/LOC.55,LOC.55,#2579e8,landslide.LOC.55,"['77.6560', '0.0774']",Andean tropics close to the volcano Reventador,LOC,false
10000,landslide/LOC.56,LOC.56,#2579e8,landslide.LOC.56,"['71.1177', '19.4969']",Andes,LOC,false
10000,landslide/LOC.57,LOC.57,#2579e8,landslide.LOC.57,"['115.1900', '27.4288']",Anfu County,LOC,false
10000,landslide/LOC.58,LOC.58,#2579e8,landslide.LOC.58,"['111.2270', '28.9701']",Anhua County,LOC,false
10000,landslide/LOC.59,LOC.59,#2579e8,landslide.LOC.59,"['111.2270', '28.9701']",Anhua County in China,LOC,false
10000,landslide/LOC.60,LOC.60,#2579e8,landslide.LOC.60,"['83.8207', '28.5953']",Annapurna,LOC,false
10000,landslide/LOC.61,LOC.61,#2579e8,landslide.LOC.61,"['115.0588', '25.4279']",Anyuan County,LOC,false
10000,landslide/LOC.62,LOC.62,#2579e8,landslide.LOC.62,"['13.7633', '42.6266']",Apennines of central Italy,LOC,false
10000,landslide/LOC.63,LOC.63,#2579e8,landslide.LOC.63,"['83.8239', '35.7382']",Appalachian Mountains,LOC,false
10000,landslide/LOC.64,LOC.64,#2579e8,landslide.LOC.64,"['16.6126', '40.9581']",Apulia,LOC,false
10000,landslide/LOC.65,LOC.65,#2579e8,landslide.LOC.65,"['41.6170', '19.2163']",Aqabat,LOC,false
10000,landslide/LOC.66,LOC.66,#2579e8,landslide.LOC.66,"['44.1266', '18.2096']",Aqabat Al - Sulbat,LOC,false
10000,landslide/LOC.67,LOC.67,#2579e8,landslide.LOC.67,"['42.8266', '18.5073']",Aqabat Al - Sulbat Asir region of Saudi Arabia,LOC,false
10000,landslide/LOC.68,LOC.68,#2579e8,landslide.LOC.68,"['80.2894', '7.3397']",Aranayaka and Kurukudegama,LOC,false
10000,landslide/LOC.69,LOC.69,#2579e8,landslide.LOC.69,"['48.1184', '38.4853']",Ardabil province,LOC,false
10000,landslide/LOC.70,LOC.70,#2579e8,landslide.LOC.70,"['48.2953', '38.2511']",Ardabil province of Iran,LOC,false
10000,landslide/LOC.71,LOC.71,#2579e8,landslide.LOC.71,"['48.1184', '38.4853']",Ardebil province,LOC,false
10000,landslide/LOC.72,LOC.72,#2579e8,landslide.LOC.72,"['40.9625', '41.1911']",Ardesen,LOC,false
10000,landslide/LOC.73,LOC.73,#2579e8,landslide.LOC.73,"['40.9530', '41.0353']",Ardesen and Findikli districts of Rize Province,LOC,false
10000,landslide/LOC.74,LOC.74,#2579e8,landslide.LOC.74,"['9.1393', '38.7223']",area north of Lisbon,LOC,false
10000,landslide/LOC.75,LOC.75,#2579e8,landslide.LOC.75,"['49.7306', '36.2133']",Argo and Yaftali Sufla,LOC,false
10000,landslide/LOC.76,LOC.76,#2579e8,landslide.LOC.76,"['41.5736', '41.2344']",Arhavi,LOC,false
10000,landslide/LOC.77,LOC.77,#2579e8,landslide.LOC.77,"['41.5116', '41.3206']",Arhavi - Kabisre river basin,LOC,false
10000,landslide/LOC.78,LOC.78,#2579e8,landslide.LOC.78,"['11.9176', '43.7711']",Arno basin,LOC,false
10000,landslide/LOC.79,LOC.79,#2579e8,landslide.LOC.79,"['103.8198', '34.0479']",Asia,LOC,false
10000,landslide/LOC.80,LOC.80,#2579e8,landslide.LOC.80,"['100.0', '30.0']",Asian Highway,LOC,false
10000,landslide/LOC.81,LOC.81,#2579e8,landslide.LOC.81,"['105.0', '20.0']",Asian Highway - 1,LOC,false
10000,landslide/LOC.82,LOC.82,#2579e8,landslide.LOC.82,"['42.5325', '19.1390']",Asir,LOC,false
10000,landslide/LOC.83,LOC.83,#2579e8,landslide.LOC.83,"['142.9833', '43.5399']",Atsuma,LOC,false
10000,landslide/LOC.84,LOC.84,#2579e8,landslide.LOC.84,"['142.9855', '43.5494']",Atsuma Town,LOC,false
10000,landslide/LOC.85,LOC.85,#2579e8,landslide.LOC.85,"['23.7294', '37.9838']",Attica,LOC,false
10000,landslide/LOC.86,LOC.86,#2579e8,landslide.LOC.86,"['23.7428', '37.9838']",Attica region in Greece,LOC,false
10000,landslide/LOC.87,LOC.87,#2579e8,landslide.LOC.87,"['4.0017', '48.0999']",Aube department,LOC,false
10000,landslide/LOC.88,LOC.88,#2579e8,landslide.LOC.88,"['14.5501', '47.5162']",Austria,LOC,false
10000,landslide/LOC.89,LOC.89,#2579e8,landslide.LOC.89,"['13.3333', '47.3333']",Austrian municipalities,LOC,false
10000,landslide/LOC.90,LOC.90,#2579e8,landslide.LOC.90,"['13.3333', '47.3333']",Austrian territory,LOC,false
10000,landslide/LOC.91,LOC.91,#2579e8,landslide.LOC.91,"['38.4687', '40.8933']",Avutmus district of Sebinkarahisar,LOC,false
10000,landslide/LOC.92,LOC.92,#2579e8,landslide.LOC.92,"['7.4188', '6.1978']",Awgu,LOC,false
10000,landslide/LOC.93,LOC.93,#2579e8,landslide.LOC.93,"['73.7674', '33.6007']",Azad Jammu,LOC,false
10000,landslide/LOC.94,LOC.94,#2579e8,landslide.LOC.94,"['74.3926', '33.7878']",Azad Jammu and Kashmir region of Pakistan,LOC,false
10000,landslide/LOC.95,LOC.95,#2579e8,landslide.LOC.95,"['74.3926', '33.7878']",Azad Kashmir,LOC,false
10000,landslide/LOC.96,LOC.96,#2579e8,landslide.LOC.96,"['64.2439', '31.6244']",Azad River,LOC,false
10000,landslide/LOC.97,LOC.97,#2579e8,landslide.LOC.97,"['25.6833', '37.7412']",Azores,LOC,false
10000,landslide/LOC.98,LOC.98,#2579e8,landslide.LOC.98,"['71.6874', '36.4325']",Badakhshan Province,LOC,false
10000,landslide/LOC.99,LOC.99,#2579e8,landslide.LOC.99,"['71.1062', '36.7389']",Badakhshan province of Afghanistan,LOC,false
10000,landslide/LOC.100,LOC.100,#2579e8,landslide.LOC.100,"['111.3586', '31.0444']",Badong,LOC,false
10000,landslide/LOC.101,LOC.101,#2579e8,landslide.LOC.101,"['111.7078', '31.0025']",Badong Country,LOC,false
10000,landslide/LOC.102,LOC.102,#2579e8,landslide.LOC.102,"['81.0846', '6.9934']",Badulla District,LOC,false
10000,landslide/LOC.103,LOC.103,#2579e8,landslide.LOC.103,"['99.8348', '33.9788']",Baige,LOC,false
10000,landslide/LOC.104,LOC.104,#2579e8,landslide.LOC.104,"['81.4525', '40.1375']",Baige Village,LOC,false
10000,landslide/LOC.105,LOC.105,#2579e8,landslide.LOC.105,"['103.5095', '35.0698']",Bailong River Basin,LOC,false
10000,landslide/LOC.106,LOC.106,#2579e8,landslide.LOC.106,"['102.7069', '34.6093']",Bailongjiang River,LOC,false
10000,landslide/LOC.107,LOC.107,#2579e8,landslide.LOC.107,"['102.7390', '34.5964']",Bailongjiang watershed in southern Gansu province,LOC,false
10000,landslide/LOC.108,LOC.108,#2579e8,landslide.LOC.108,"['120.0093', '30.3423']",Baiyuzui,LOC,false
10000,landslide/LOC.109,LOC.109,#2579e8,landslide.LOC.109,"['88.9724', '28.0540']",Balason River basin,LOC,false
10000,landslide/LOC.110,LOC.110,#2579e8,landslide.LOC.110,"['100.2190', '5.3528']",Balik Pulau area in Penang Island,LOC,false
10000,landslide/LOC.111,LOC.111,#2579e8,landslide.LOC.111,"['103.9482', '22.8861']",Ban Khoang,LOC,false
10000,landslide/LOC.112,LOC.112,#2579e8,landslide.LOC.112,"['99.8642', '20.4864']",Ban Pha Duea at Mae Salong Nai,LOC,false
10000,landslide/LOC.113,LOC.113,#2579e8,landslide.LOC.113,"['112.6610', '0.7966']",Banaran,LOC,false
10000,landslide/LOC.114,LOC.114,#2579e8,landslide.LOC.114,"['54.7294', '36.8452']",Bandar Torkaman in northern Iran,LOC,false
10000,landslide/LOC.115,LOC.115,#2579e8,landslide.LOC.115,"['82.0718', '29.8600']",Bangesimal and Manma towns,LOC,false
10000,landslide/LOC.116,LOC.116,#2579e8,landslide.LOC.116,"['90.3563', '23.6850']",Bangladesh,LOC,false
10000,landslide/LOC.117,LOC.117,#2579e8,landslide.LOC.117,"['112.2661', '28.7105']",bank of Yangtze and its major tributaries,LOC,false
10000,landslide/LOC.118,LOC.118,#2579e8,landslide.LOC.118,"['81.2696', '29.2767']",banks of the Karnali River,LOC,false
10000,landslide/LOC.119,LOC.119,#2579e8,landslide.LOC.119,"['106.1092', '-6.4058']",Banten,LOC,false
10000,landslide/LOC.120,LOC.120,#2579e8,landslide.LOC.120,"['110.2766', '35.0127']",Baota District,LOC,false
10000,landslide/LOC.121,LOC.121,#2579e8,landslide.LOC.121,"['6.6647', '44.3867']",Barcelonnette Basin,LOC,false
10000,landslide/LOC.122,LOC.122,#2579e8,landslide.LOC.122,"['32.4610', '41.8387']",Bartin Province of Western Black Sea,LOC,false
10000,landslide/LOC.123,LOC.123,#2579e8,landslide.LOC.123,"['16.5559', '40.6395']",Basilicata,LOC,false
10000,landslide/LOC.124,LOC.124,#2579e8,landslide.LOC.124,"['10.1096', '43.7711']",basin of the Arno River,LOC,false
10000,landslide/LOC.125,LOC.125,#2579e8,landslide.LOC.125,"['104.0319', '1.1301']",Batam Island,LOC,false
10000,landslide/LOC.126,LOC.126,#2579e8,landslide.LOC.126,"['104.0646', '-0.9223']",Batu Aji Subdistrict,LOC,false
10000,landslide/LOC.127,LOC.127,#2579e8,landslide.LOC.127,"['119.8671', '31.8854']",Baxie River basin,LOC,false
10000,landslide/LOC.128,LOC.128,#2579e8,landslide.LOC.128,"['106.5655', '29.7328']",Bazimen,LOC,false
10000,landslide/LOC.129,LOC.129,#2579e8,landslide.LOC.129,"['-73.9926', '40.7440']",BC,LOC,false
10000,landslide/LOC.130,LOC.130,#2579e8,landslide.LOC.130,"['72.8572', '39.8322']",Bedrug,LOC,false
10000,landslide/LOC.131,LOC.131,#2579e8,landslide.LOC.131,"['104.2755', '31.8284']",Beichuan Country,LOC,false
10000,landslide/LOC.132,LOC.132,#2579e8,landslide.LOC.132,"['104.2227', '31.7851']",Beichuan county town,LOC,false
10000,landslide/LOC.133,LOC.133,#2579e8,landslide.LOC.133,"['111.6933', '24.5792']",Beijiang River Basin,LOC,false
10000,landslide/LOC.134,LOC.134,#2579e8,landslide.LOC.134,"['116.4074', '39.9042']",Beijing,LOC,false
10000,landslide/LOC.135,LOC.135,#2579e8,landslide.LOC.135,"['113.0473', '-8.1543']",Bekiring,LOC,false
10000,landslide/LOC.136,LOC.136,#2579e8,landslide.LOC.136,"['2.8453', '50.5039']",Belg,LOC,false
10000,landslide/LOC.137,LOC.137,#2579e8,landslide.LOC.137,"['4.4699', '50.5039']",Belgium,LOC,false
10000,landslide/LOC.138,LOC.138,#2579e8,landslide.LOC.138,"['-5.0424', '36.5236']",Benahavis,LOC,false
10000,landslide/LOC.139,LOC.139,#2579e8,landslide.LOC.139,"['120.6020', '16.4160']",Benguet,LOC,false
10000,landslide/LOC.140,LOC.140,#2579e8,landslide.LOC.140,"['84.6077', '27.7905']",Benighat - Rorang RM,LOC,false
10000,landslide/LOC.141,LOC.141,#2579e8,landslide.LOC.141,"['84.6077', '27.7905']",Benighat - Rorang Rural Municipality,LOC,false
10000,landslide/LOC.142,LOC.142,#2579e8,landslide.LOC.142,"['-1.3607', '35.1264']",Bensekrane in Tlemcen in Algeria,LOC,false
10000,landslide/LOC.143,LOC.143,#2579e8,landslide.LOC.143,"['99.8516', '27.8250']",Benzilan Town and Waka Town,LOC,false
10000,landslide/LOC.144,LOC.144,#2579e8,landslide.LOC.144,"['78.3764', '31.3555']",Bhagirathi river basin,LOC,false
10000,landslide/LOC.145,LOC.145,#2579e8,landslide.LOC.145,"['78.9228', '30.0664']",Bhagirathi river valley in the Indian Himalayas,LOC,false
10000,landslide/LOC.146,LOC.146,#2579e8,landslide.LOC.146,"['82.2386', '28.8727']",Bhalubang - Shiwapur section of Mahendra Highway lying in Western Nepal,LOC,false
10000,landslide/LOC.147,LOC.147,#2579e8,landslide.LOC.147,"['77.0925', '29.4393']",Bhanupali - Beri,LOC,false
10000,landslide/LOC.148,LOC.148,#2579e8,landslide.LOC.148,"['77.4981', '11.2326']",Bhavani basin,LOC,false
10000,landslide/LOC.149,LOC.149,#2579e8,landslide.LOC.149,"['90.4336', '27.5142']",Bhutan,LOC,false
10000,landslide/LOC.150,LOC.150,#2579e8,landslide.LOC.150,"['47.6114', '35.8664']",Bijar City,LOC,false
10000,landslide/LOC.151,LOC.151,#2579e8,landslide.LOC.151,"['47.6114', '35.8664']",Bijar City in Kurdistan province,LOC,false
10000,landslide/LOC.152,LOC.152,#2579e8,landslide.LOC.152,"['47.7475', '35.8691']",Bijar County,LOC,false
10000,landslide/LOC.153,LOC.153,#2579e8,landslide.LOC.153,"['105.3015', '27.2985']",Bijie,LOC,false
10000,landslide/LOC.154,LOC.154,#2579e8,landslide.LOC.154,"['105.3015', '27.2985']",Bijie in the Karst Region of Southwest China,LOC,false
10000,landslide/LOC.155,LOC.155,#2579e8,landslide.LOC.155,"['15.4859', '40.9485']",Bisaccia,LOC,false
10000,landslide/LOC.156,LOC.156,#2579e8,landslide.LOC.156,"['36.3002', '41.3237']",Black Sea,LOC,false
10000,landslide/LOC.157,LOC.157,#2579e8,landslide.LOC.157,"['41.6432', '41.1603']",Black Sea coast in the Artvin province,LOC,false
10000,landslide/LOC.158,LOC.158,#2579e8,landslide.LOC.158,"['77.0208', '11.5148']",Bodi - Bodimettu Ghat section,LOC,false
10000,landslide/LOC.159,LOC.159,#2579e8,landslide.LOC.159,"['127.2841', '36.4923']",Boeun,LOC,false
10000,landslide/LOC.160,LOC.160,#2579e8,landslide.LOC.160,"['127.7570', '36.4877']",Boeun in Korea,LOC,false
10000,landslide/LOC.161,LOC.161,#2579e8,landslide.LOC.161,"['106.7955', '-6.5950']",Bogor,LOC,false
10000,landslide/LOC.162,LOC.162,#2579e8,landslide.LOC.162,"['73.3512', '4.7110']",Bogota - Villavicencio road in the central sector of the Eastern Cordillera,LOC,false
10000,landslide/LOC.163,LOC.163,#2579e8,landslide.LOC.163,"['36.7199', '7.2749']",Bonga town,LOC,false
10000,landslide/LOC.164,LOC.164,#2579e8,landslide.LOC.164,"['69.3073', '41.3929']",Bostanlik district,LOC,false
10000,landslide/LOC.165,LOC.165,#2579e8,landslide.LOC.165,"['69.3073', '41.3929']",Bostanlik districts of Tashkent,LOC,false
10000,landslide/LOC.166,LOC.166,#2579e8,landslide.LOC.166,"['112.2707', '31.9489']",both sides of the Yangtze River,LOC,false
10000,landslide/LOC.167,LOC.167,#2579e8,landslide.LOC.167,"['13.1799', '3.3642']",Bouandas,LOC,false
