Feature,SHAP_Importance
elevation,0.2055805397568058
fault,0.06732579106677214
water,0.05601876411989122
road,0.03888640062053765
pga,0.026370922870244066
slope,0.02277453983600781
relief,0.018509259934562282
profcurv,0.018034287873104727
lithology,0.010057374811227178
ndvi,0.007880522867334034
landuse,0.006882885545194729
aspect,0.005239173378731532
