"~id","~start_node_id","~end_node_id","~relationship_type"
"211","4176","6506","exist_in"
"212","4177","6507","exist_in"
"213","4178","6507","exist_in"
"214","4179","6507","exist_in"
"215","4180","6508","exist_in"
"216","4181","6508","exist_in"
"217","4182","6508","exist_in"
"218","4183","6508","exist_in"
"219","4184","6508","exist_in"
"220","4185","6509","exist_in"
"221","4186","6509","exist_in"
"222","4187","6509","exist_in"
"223","4188","6509","exist_in"
"224","4030","6511","exist_in"
"225","4189","6511","exist_in"
"226","4074","6513","exist_in"
"227","4190","6513","exist_in"
"228","4020","6513","exist_in"
"229","4076","6513","exist_in"
"230","4191","6513","exist_in"
"231","4192","6514","exist_in"
"232","4193","6514","exist_in"
"233","4194","6514","exist_in"
"234","4195","6515","exist_in"
"235","4196","6515","exist_in"
"236","4197","6516","exist_in"
"237","4175","6517","exist_in"
"238","4198","6517","exist_in"
"239","4019","6517","exist_in"
"240","4199","6517","exist_in"
"241","4200","6517","exist_in"
"242","4201","6518","exist_in"
"243","4202","6518","exist_in"
"244","4020","6519","exist_in"
"245","4119","6519","exist_in"
"246","4190","6519","exist_in"
"247","4019","6519","exist_in"
"248","4068","6519","exist_in"
"249","4203","6519","exist_in"
"250","4204","6519","exist_in"
"251","4205","6519","exist_in"
"252","4206","6519","exist_in"
"253","4207","6519","exist_in"
"254","4208","6519","exist_in"
"255","4209","6519","exist_in"
"256","4120","6519","exist_in"
"257","4191","6519","exist_in"
"258","4022","6519","exist_in"
"259","4210","6520","exist_in"
"260","4211","6520","exist_in"
"261","4212","6520","exist_in"
"262","4213","6520","exist_in"
"263","4214","6520","exist_in"
"264","4215","6521","exist_in"
"265","4216","6521","exist_in"
"266","4217","6522","exist_in"
"267","4218","6523","exist_in"
"268","4030","6524","exist_in"
"269","4219","6525","exist_in"
"270","4220","6525","exist_in"
"271","4221","6525","exist_in"
"272","4041","6525","exist_in"
"273","4222","6525","exist_in"
"274","4223","6525","exist_in"
"275","4224","6525","exist_in"
"276","4011","6525","exist_in"
"277","4225","6525","exist_in"
"278","4226","6525","exist_in"
"279","4227","6526","exist_in"
"280","4221","6526","exist_in"
"281","4228","6526","exist_in"
"282","4041","6526","exist_in"
"283","4229","6526","exist_in"
"284","4230","6526","exist_in"
"285","4157","6526","exist_in"
"286","4231","6526","exist_in"
"287","4011","6526","exist_in"
"288","4232","6529","exist_in"
"289","4233","6530","exist_in"
"290","4234","6531","exist_in"
"291","4020","6531","exist_in"
"292","4119","6533","exist_in"
"293","4020","6533","exist_in"
"294","4190","6533","exist_in"
"295","4120","6533","exist_in"
"296","4191","6533","exist_in"
"297","4068","6534","exist_in"
"298","4020","6534","exist_in"
"299","4235","6534","exist_in"
"300","4137","6534","exist_in"
"301","4035","6534","exist_in"
"302","4027","6535","exist_in"
"303","4236","6535","exist_in"
"304","4237","6536","exist_in"
"305","4020","6537","exist_in"
"306","4068","6537","exist_in"
"307","4030","6537","exist_in"
"308","4030","6537","exist_in"
"309","4238","6538","exist_in"
"310","4239","6539","exist_in"
"311","4240","6539","exist_in"
"312","4241","6542","exist_in"
"313","4242","6542","exist_in"
"314","4019","6543","exist_in"
"315","4243","6543","exist_in"
"316","4244","6543","exist_in"
"317","4030","6544","exist_in"
"318","4245","6544","exist_in"
"319","4189","6544","exist_in"
"320","4246","6544","exist_in"
"321","4247","6546","exist_in"
"322","4248","6546","exist_in"
"323","4154","6547","exist_in"
"324","4020","6548","exist_in"
"325","4249","6549","exist_in"
"326","4250","6550","exist_in"
"327","4251","6551","exist_in"
"328","4252","6552","exist_in"
"329","4253","6553","exist_in"
"330","4254","6554","exist_in"
"331","4255","6555","exist_in"
"332","4256","6558","exist_in"
"333","4257","6561","exist_in"
"334","4161","6562","exist_in"
"335","4258","6562","exist_in"
"336","4068","6562","exist_in"
"337","4030","6562","exist_in"
"338","4259","6564","exist_in"
"339","4219","6564","exist_in"
"340","4260","6564","exist_in"
"341","4261","6564","exist_in"
"342","4224","6564","exist_in"
"343","4262","6565","exist_in"
"344","4161","6565","exist_in"
"345","4039","6565","exist_in"
"346","4038","6565","exist_in"
"347","4041","6565","exist_in"
"348","4263","6565","exist_in"
"349","4264","6565","exist_in"
"350","4265","6565","exist_in"
"351","4144","6565","exist_in"
"352","4266","6565","exist_in"
"353","4043","6565","exist_in"
"354","4267","6565","exist_in"
"355","4268","6565","exist_in"
"356","4068","6566","exist_in"
"357","4049","6566","exist_in"
"358","4269","6567","exist_in"
"359","4030","6567","exist_in"
"360","4038","6567","exist_in"
"361","4270","6567","exist_in"
