size,path,id,color,name,coordinates,description,type,nodeVisibility
5000,LOC.11/DATA,LOC.11.DATA,#8579ec,landslide.LOC.11.DATA,"['77.1025', '28.7041']",,DATA,FALSE
10000,LOC.12,LOC.12,#2579e8,landslide.LOC.12,"['16.7187', '42.2596']",Adriatic coast,LOC,FALSE
5000,LOC.12/MED,LOC.12.MED,#27cf7e,landslide.LOC.12.MED,"['16.7187', '42.2596']",,MED,FALSE
5000,LOC.12/FAC,LOC.12.FAC,#f0a73a,landslide.LOC.12.FAC,"['16.7187', '42.2596']",,FAC,FALSE
5000,LOC.12/DATA,LOC.12.DATA,#8579ec,landslide.LOC.12.DATA,"['16.7187', '42.2596']",,DATA,FALSE
10000,LOC.13,LOC.13,#2579e8,landslide.LOC.13,"['17.1232', '40.6395']",Adriatic Coast of south Italy,LOC,FALSE
5000,LOC.13/MED,LOC.13.MED,#27cf7e,landslide.LOC.13.MED,"['17.1232', '40.6395']",,MED,FALSE
5000,LOC.13/FAC,LOC.13.FAC,#f0a73a,landslide.LOC.13.FAC,"['17.1232', '40.6395']",,FAC,FALSE
5000,LOC.13/DATA,LOC.13.DATA,#8579ec,landslide.LOC.13.DATA,"['17.1232', '40.6395']",,DATA,FALSE
10000,LOC.14,LOC.14,#2579e8,landslide.LOC.14,"['14.8498', '38.4693']",Aeolian Archipelago,LOC,FALSE
5000,LOC.14/MED,LOC.14.MED,#27cf7e,landslide.LOC.14.MED,"['14.8498', '38.4693']",,MED,FALSE
5000,LOC.14/FAC,LOC.14.FAC,#f0a73a,landslide.LOC.14.FAC,"['14.8498', '38.4693']",,FAC,FALSE
5000,LOC.14/DATA,LOC.14.DATA,#8579ec,landslide.LOC.14.DATA,"['14.8498', '38.4693']",,DATA,FALSE
10000,LOC.15,LOC.15,#2579e8,landslide.LOC.15,"['21.2911', '38.7205']",Aetolia - Acarnania and Evritania prefectures,LOC,FALSE
5000,LOC.15/MED,LOC.15.MED,#27cf7e,landslide.LOC.15.MED,"['21.2911', '38.7205']",,MED,FALSE
5000,LOC.15/FAC,LOC.15.FAC,#f0a73a,landslide.LOC.15.FAC,"['21.2911', '38.7205']",,FAC,FALSE
5000,LOC.15/DATA,LOC.15.DATA,#8579ec,landslide.LOC.15.DATA,"['21.2911', '38.7205']",,DATA,FALSE
10000,LOC.16,LOC.16,#2579e8,landslide.LOC.16,"['14.9333', '37.8219']",affluent of the Alcantara River,LOC,FALSE
5000,LOC.16/MED,LOC.16.MED,#27cf7e,landslide.LOC.16.MED,"['14.9333', '37.8219']",,MED,FALSE
5000,LOC.16/FAC,LOC.16.FAC,#f0a73a,landslide.LOC.16.FAC,"['14.9333', '37.8219']",,FAC,FALSE
5000,LOC.16/DATA,LOC.16.DATA,#8579ec,landslide.LOC.16.DATA,"['14.9333', '37.8219']",,DATA,FALSE
10000,LOC.17,LOC.17,#2579e8,landslide.LOC.17,"['66.2385', '33.9391']",Afghanistan,LOC,FALSE
5000,LOC.17/MED,LOC.17.MED,#27cf7e,landslide.LOC.17.MED,"['66.2385', '33.9391']",,MED,FALSE
5000,LOC.17/FAC,LOC.17.FAC,#f0a73a,landslide.LOC.17.FAC,"['66.2385', '33.9391']",,FAC,FALSE
5000,LOC.17/DATA,LOC.17.DATA,#8579ec,landslide.LOC.17.DATA,"['66.2385', '33.9391']",,DATA,FALSE
10000,LOC.18,LOC.18,#2579e8,landslide.LOC.18,"['17.3660', '8.7832']",Africa,LOC,FALSE
5000,LOC.18/MED,LOC.18.MED,#27cf7e,landslide.LOC.18.MED,"['17.3660', '8.7832']",,MED,FALSE
5000,LOC.18/FAC,LOC.18.FAC,#f0a73a,landslide.LOC.18.FAC,"['17.3660', '8.7832']",,FAC,FALSE
5000,LOC.18/DATA,LOC.18.DATA,#8579ec,landslide.LOC.18.DATA,"['17.3660', '8.7832']",,DATA,FALSE
10000,LOC.19,LOC.19,#2579e8,landslide.LOC.19,"['9.6304', '30.4202']",Agadir Ida - Ou - Tanane province,LOC,FALSE
5000,LOC.19/MED,LOC.19.MED,#27cf7e,landslide.LOC.19.MED,"['9.6304', '30.4202']",,MED,FALSE
5000,LOC.19/FAC,LOC.19.FAC,#f0a73a,landslide.LOC.19.FAC,"['9.6304', '30.4202']",,FAC,FALSE
5000,LOC.19/DATA,LOC.19.DATA,#8579ec,landslide.LOC.19.DATA,"['9.6304', '30.4202']",,DATA,FALSE
10000,LOC.20,LOC.20,#2579e8,landslide.LOC.20,"['14.5233', '41.5833']",Agnone,LOC,FALSE
5000,LOC.20/MED,LOC.20.MED,#27cf7e,landslide.LOC.20.MED,"['14.5233', '41.5833']",,MED,FALSE
5000,LOC.20/FAC,LOC.20.FAC,#f0a73a,landslide.LOC.20.FAC,"['14.5233', '41.5833']",,FAC,FALSE
