elevation,relief,slope,profcurv,aspect,ndvi,road,water,fault,pga,lithology,landuse
0.24246028218878035,-0.007108074016269731,0.010922145685720091,0.00041726420288085153,0.0,0.0028719732500433357,0.018829918141506446,0.041510344059452246,0.05331547259051568,0.0016805092828570912,0.001452851098497541,0.0
0.1913325967969577,-0.029741721785998557,0.021441561739223562,0.0,0.0,-0.04325902453407167,0.015475058913106559,0.036671546330546236,0.029192208619614888,-0.02168151460528735,0.0038384673627968047,0.02953542249706924
0.280090643673137,-0.0076858736344735555,-0.022538107001259654,0.0023710124287396757,0.0,0.0,0.006818256673126558,0.03733341932720633,0.05208434564664809,0.014394367687123532,-0.011517121646698325,0.0075928701331142694
-0.31679163235968405,0.01761745956255592,-0.03319716690453697,-0.016208003010293896,0.0026837162460593826,-0.005452820834345816,-0.10053970287798236,0.0,0.010597255614775805,0.002051486910124578,0.0,-0.005239946498677181
0.20645853196580985,-0.00953285516215724,0.0,-0.02172604730325027,-0.012387825501668602,0.0,0.02869704156114027,0.045670199460769736,0.04123755534753143,-0.012025692524325391,0.0022903540172352632,-0.024602829487243096
-0.25959437943035885,-0.014606383589656704,-0.03452360098945159,-0.02189490416940768,0.010911890189005412,-0.00748808902060677,-0.1346181319225598,0.014213309556331878,0.0,0.017559265036593268,-0.015018231347680235,0.0
-0.28530606623155025,-0.009264124143792579,-0.042152429649868296,0.0,-0.0036448040942426976,-0.000680583925404187,-2.1467029672393567e-05,0.014165106057345556,-0.006916599911776121,-0.08007525733539607,-0.031419448613976324,0.0
-0.21427100794896892,0.013421407959540003,0.009181927941353816,0.00714662781149558,0.0,-0.006856383171460208,0.013851274981208778,0.027869818233292286,-0.2828222983510316,0.0,-0.00219295592026314,-0.006465418456903047
-0.1515213303751554,-0.04574826995633952,-0.08612665400693378,-0.08259913799363879,0.0,-0.00566487221379137,0.0,-0.12014966719909609,0.061134023023789785,0.04394322189891301,-0.021776921623529653,-0.009738194049462301
0.19107044910867965,0.02193168159336366,0.01596734569524026,0.006898654807554641,0.0,0.0,0.022284526642996072,0.03435323197222576,0.06549384470677752,0.0059745738338627214,0.0025511390573259643,0.00216300237635908
0.2476384442875736,0.0,0.0014954474202549166,0.0008786461509888155,0.0,0.0021419179725116243,0.019763223212883655,0.009997887198622601,0.061629350350905915,0.021545662657805557,0.002549408816079623,0.0011336686742832159
-0.08371439171915768,0.00666831322809569,0.02574482990860585,-0.008696979424279489,0.0,-0.015040763259678295,-0.1261391067506628,-0.07561435261626956,-0.13883366227183339,-0.016697601337546185,0.0,-0.008165903550448828
0.22012283336055788,0.0011223953461146638,0.01897357905091408,0.0075709893160753675,0.0,0.0,0.008858077429375666,0.03006359884876002,0.059888585596725295,0.015204192010715569,0.005358232175762881,0.0005424331112626191
0.22561073637303503,0.0012223391489648572,0.008532063954052019,0.0020751436704883907,0.0025941953449357784,0.003181009982855495,0.01796818015077948,0.026584810372224186,0.06733521907342174,0.011875179122395512,0.0,0.0
-0.09615059052812212,0.02641835805110279,0.03245719503273662,0.0,-0.012383053005047074,0.010613591212909057,-0.09904772466577368,-0.04752226383338573,-0.15079540446669026,-0.08906269796651896,-0.018406690181781305,0.0
0.2968737589403366,-0.008897771161818982,-0.039663961666204485,-0.024518031530170233,0.0,0.0012429422314793458,0.02150902973403218,0.03150500147295296,0.07239184399069631,0.0,0.00931198288429308,0.0
0.2778558011671059,-0.017244585394091017,-0.01706505390276158,0.0,-0.00881478282881108,0.0024728839343827365,0.018467156306641315,0.03168904353556684,0.05942169073358298,0.02058388972206442,0.0,0.0008961382669856466
-0.0034183700169336272,-0.007379974309010261,0.01161625538931611,0.030814167720163994,0.022006739454748615,0.0,0.0,-0.3784376982016366,-0.0014272348710654063,-0.0734630151791938,-0.0003856446173716166,0.020091317494686477
0.16506866748285443,0.02690233931992937,0.021590877815431914,0.011468656447754438,-0.007472184776275925,0.0,0.0376739061518877,0.04815457773374602,0.06324577139828848,0.016968840089180717,-0.02104303098020059,0.0
0.20664825436321124,0.025555161051306174,0.005372719174864339,-0.030279670518326585,0.0,0.0,0.03495977109681072,0.025002253208060578,0.044539481029594014,0.04670078054726595,0.0026367108632433284,-0.00038424611597902487
0.19200411168980938,0.01859565446743281,0.017793147886882587,0.005376024586343804,0.004731987626323431,0.0,0.030617958034962485,0.023126737582564377,0.059353036953049394,0.010409214648373997,0.00696690047107969,0.0
0.3114873701442322,0.0,-0.07570090011569867,-0.02063432508770191,0.008295257868950325,0.0,0.017480513099792244,0.04086596143867002,0.04473801111490399,0.022444471078174787,0.0053453200825580496,0.010590257262160514
0.19052208051461614,-0.015803830187177625,0.0,0.0,0.004965155513656566,0.03036299697442624,0.024508147623275658,-0.07448418753698759,0.06972577456105454,0.08037031221835994,0.005196393756204699,0.012147009117965518
-0.0651708615925313,-0.03360507128344444,-0.0732281035729442,-0.0032342232837742437,0.0,-0.014855496567626726,0.0,-0.10027231858607893,-0.15100135262608802,0.018821651429978808,-0.011759113310123042,-0.0006462815808948585
0.03093211068587343,-0.009701971035111057,0.07549426590306983,0.013961588259724144,-0.019810960252682253,0.0,0.07496569777057598,0.03996830041895281,0.06626504415876802,0.0,0.002749749497388511,0.011520997346844919
-0.40820767385601175,0.01751268673094417,0.009626391073119748,0.006059271853621741,0.0,0.0029247656449376946,0.0027344919388508915,-0.008306176747291895,0.027898449388417703,-0.06170464114249079,-0.03300775977640258,0.0
-0.20756166900492304,0.0088317199314674,0.0,0.0,0.015797100190321742,0.0018915493055856603,-0.09853254506041477,-0.10959217443306,0.00280372248361581,-0.02378197769634095,-0.031077849319238786,-0.003939586701459615
0.2903505178899024,0.0,-0.06075462723160072,-0.025271200678885997,0.004972996782484174,0.009478288679999903,0.014784363702903066,0.023969768638258303,0.06363487203466618,0.03745973871629048,0.007158694992864605,0.0
0.216219681140437,0.0,0.006041839238849562,0.014876973174204366,0.002689713403941366,0.0,0.025884491911801262,0.039347890974015365,0.05195609244843113,0.0030425541810571717,0.012473566451747138,-0.00553093341665678
0.044378458443436436,-0.023491405663078804,-0.0057799399492690084,-0.014358790052929771,0.0,-0.0057403734335882955,-0.03635687812986097,-0.13276847390415877,-0.20453914893662206,0.0,-0.058480270317470676,-0.008089955163622216
0.2764665925112036,-0.019022326718496293,0.0,-0.018159402928028975,0.0018208292120118763,0.0,0.02136476053557307,0.025200899647835846,0.06317367051721764,0.019351417938727244,0.005028141650982269,-0.010267493480224881
0.176450607179374,0.006108777132409447,0.015492358534562914,0.005786209265423585,-0.004521840007476963,0.0,0.0433127435821685,0.023034496931967765,0.061638277127748886,0.028523092868954613,0.005762879893390489,0.0
0.21621097285572974,0.0,0.03030801321722468,-0.02900506250228921,0.011987092882016714,-0.013806741882552487,0.018994272261905493,0.07423614858320124,0.05208634088849056,-0.023371149899408267,-0.01154369377938433,0.0
0.2579368748924701,-0.018573980569217788,0.00798467151937843,-0.01925667573357301,-0.0038286174648949883,0.0,0.015565024564191293,0.03863518238992319,0.05901802167991956,0.033006833826756954,0.0,-0.003150158647756862
0.05506181599355505,0.073881088251866,0.0477819046606364,0.041308071036373906,0.010904964740190749,0.0,0.012874543263050727,0.04546084554867894,0.07657643281985958,-0.022287022270718104,0.0035393498442954545,0.0
0.018619696948998506,0.06040795168191529,0.04249783627177911,0.042345077860715064,0.0,-0.027351741454218058,0.0324865736574795,0.051056478162904206,0.09235101821064282,0.04737736687501847,-0.01877059406472481,0.0
-0.2801489433111459,-0.00906533165058315,-0.01471450954581194,-0.019376170050786456,-0.005058332903501236,0.0,-0.12691184010507472,0.009255088214261591,0.0,-0.01020424505083295,0.007281659646612034,0.00394314221497738
0.19090909928265248,0.02506298248758818,0.02425011532122858,0.0,-0.0076195236394805965,0.009334672258389699,0.01217942733223429,0.025428786070213715,0.06893522016356063,0.0027039904255081815,0.0,0.008961017814659498
-0.15206764698027467,0.0,0.0,0.22233717368827977,-0.02235688918487755,0.013125717228269275,0.007371015456526102,0.009238808736953038,0.05254951094846466,0.02321436764942419,0.07526832978552282,0.017279095475033295
